q,cur,price,price_usd,nrat,n,recurring,t
notion template,£,41.4,55.75,194,194.0,False,Headquarters Notion Productivity Template Productive Setups 5.0 (194) 
notion template,£,110.64,149.0,,0.0,False,Headquarters Toolkit: Notion Productivity Bundle Productive Setups £11
notion template,€,199.99,230.83,51,51.0,False,Obsidian Starter Kit and community Sébastien Dubois 4.8 (51) €199.99
notion template,£,111.37,149.98,12,12.0,False,The Solopreneur Operating System Huy Nguyen 5.0 (12) £111.37
notion template,$,45.0,45.0,7,7.0,False,Your ADHD Mynd - Notion Template (Recently Updated!) Braelyn | Mynd fo
notion template,£,0.0,0.0,373,373.0,False,Second Brain Template Heyismail 4.9 (373) £0.00+
notion template,$,4999.99,4999.99,,0.0,False,"🌟Lifetime Membership – One-Time Payment, Lifetime Access 💎 Hams AI Tec"
notion template,£,34.9,47.0,16,16.0,False,365 Substack Notes Templates Write • Build • Scale 4.9 (16) £34.90
notion template,£,241.33,325.0,3,3.0,False,Notion Complete Bundle Heyismail 5.0 (3) £241.33+
notion template,£,73.51,99.0,29,29.0,False,Notion For Businesses Heyismail 4.8 (29) £73.51+
notion template,£,73.51,99.0,5,5.0,False,💎 Untools Vault: Lifetime membership Untools 4.8 (5) £73.51
notion template,£,184.89,248.99,35,35.0,False,8 Week Course: Mastering Color and Light for Story-Driven Art Misha Op
notion template,£,0.0,0.0,167,167.0,False,Notion Life OS Heyismail 4.9 (167) £0.00+
notion template,£,12.62,17.0,1,1.0,False,"Procedure Tracking Template Manan Parekh, MD 5.0 (1) £12.62"
notion template,£,72.03,97.0,24,24.0,False,Storyteller OS StoryFlint 4.8 (24) £72.03
notion template,$,27.0,27.0,53,53.0,False,Italy Arrival Blueprint: Your First 90 Days in Italy MICHEL WILFRIED 4
notion template,£,14.11,19.0,74,74.0,False,Gamified Life OS: Solo Leveling Kevechino 5.0 (74) £14.11+
notion template,£,6.68,9.0,34,34.0,False,Smart Finance Jahaziel Guerra 4.9 (34) £6.68+
notion template,£,18.56,24.99,20,20.0,False,The Complete Cavalry Guide Heyalisa Motion 4.9 (20) £18.56
notion template,£,24.63,33.17,,0.0,False,The UGC Pitching System ✨💸 Rylie Lane £24.63
notion template,£,184.89,248.99,75,75.0,False,The Ultimate Notion Templates Bundle​ MrPugo Top creator 5.0 (75) £184
notion template,$,50.0,50.0,,0.0,False,The VB Toolkit ($50 off) LC Media Studio - by Mat Aleixo £58.66
notion template,$,14.0,14.0,35,35.0,False,Language Learning Hub 2.0 Anna Lenkovska Top creator 4.8 (35) $14
notion template,€,2975.0,3433.75,,0.0,False,3 left The Writer's Wand©️: 180SF Program (Schedule Flexible) Coach Na
notion template,£,20.05,27.0,,0.0,False,The Neuroscience-Optimized Morning Routine: A Science-Backed Framework
notion template,£,73.51,99.0,13,13.0,False,Notion Complete Bundle Pack Solt Wagner 4.7 (13) £73.51
notion template,£,73.51,99.0,8,8.0,False,Notion For Startups Heyismail 5.0 (8) £73.51+
notion template,£,40.33,54.31,4,4.0,False,Iconic Life Planner ✧ Template Notion Complet & Esthétique Lydiaenvrai
notion template,$,40.0,40.0,13,13.0,False,Productivity Hub: 12 Week Year & To-Do List Template Anna Lenkovska To
notion template,£,17.82,24.0,,0.0,False,THE AI MONETIZATION SYSTEM 3.0 Think Scale AI £17.82+
notion template,£,111.38,150.0,,0.0,False,CoLab: Notion Team Template Productive Setups £111.38
notion template,£,23.17,31.2,,0.0,False,METAKAIHOS — The Obsidian Vault for AI-Augmented Thinking metakaihos £
notion template,£,73.51,99.0,145,145.0,False,Business Hub for Notion MrPugo Top creator 4.9 (145) £73.51
notion template,£,147.77,199.0,,0.0,False,Multi-Business Owner OS notion4agencies £147.77
notion template,$,20.0,20.0,26,26.0,False,Travel Planner 2.0 Anna Lenkovska Top creator 4.9 (26) $20
notion template,£,220.54,297.0,5,5.0,False,4 left Complete Template Bundle iNotion 5.0 (5) £220.54
ai prompts,£,37.12,49.99,91,91.0,False,SimpliGen SimpliGen 4.5 (91) £37.12 £24.13
ai prompts,$,24.97,24.97,168,168.0,True,ZimmWriter (Subscription) ZimmWriter (by Matt Zimmerman) Top creator 4
ai prompts,£,0.0,0.0,47,47.0,False,Houdini AI Assistant Radu Cius 4.8 (47) £0.00
ai prompts,£,28.96,39.0,11,11.0,False,89 left Claude For Lawyers - 360 Claude Prompts Kyle Maddie 3.9 (11) £
ai prompts,£,28.96,39.0,5,5.0,False,Claude Skills Pack Prompt Guy 4.4 (5) £28.96
ai prompts,£,73.51,99.0,15,15.0,False,CRAFTR 2.0 CRAFTR by PROMPTR Studios 5.0 (15) £73.51 £58.66
ai prompts,€,299.0,345.11,41,41.0,False,ZeroToAi - Una introduzione (gentile) agli LLM e alla AI Generative Ma
ai prompts,£,140.34,189.0,30,30.0,False,"Squareblack Blueprint - Roadmap, Examples, Templates for a HIGH PAID A"
ai prompts,£,28.96,39.0,1,1.0,False,My Complete Claude AI Collection Think Scale AI 5.0 (1) £28.96+
ai prompts,£,33.41,44.99,6,6.0,False,360 Splat Pro Ronski 5.0 (6) £33.41
ai prompts,£,28.96,39.0,8,8.0,False,109 left McKinsey in 360 Claude Prompts - A Consultants' Playbook Kyle
ai prompts,$,15.0,15.0,13,13.0,True,NotebookLM Mastery - Premium Membership Mihailo Zoin 5.0 (13) $15 a mo
ai prompts,£,36.38,48.99,5,5.0,False,Job Search OS in Claude Code Aakash Gupta 4.8 (5) £36.38
